ICRF J174358.8-035004  1741-038    1.60    -2.8     0.8    0.56    0.88    0.05    0.07    35.2  4263
ICRF J131607.9-333859  1313-333    1.88    21.2   -14.1    2.45    1.02    0.73    0.26    28.6   239
ICRF J033453.3+080014  0332+078    1.09    36.9   -26.0    0.37    0.77    0.14    0.23    21.2   145
ICRF J184208.9+794617  1845+797    1.31    30.9    27.4    3.01    0.59    1.11    0.14    26.2    32
ICRF J235810.8-102008  2355-106    1.60    -7.8    15.0    2.65    1.11    0.52    0.26    28.5   533
ICRF J125459.9-713818  1251-713    1.90    37.3     2.0    3.56    0.64    0.69    0.08    27.9    59
ICRF J014922.3+055553  0146+056    1.11    65.3    50.5    0.40    0.61    0.16    0.22    25.6    54
ICRF J200530.9+775243  2007+777    1.33    16.5   -14.4    3.62    0.68    0.89    0.13    30.0   280
ICRF J124646.8-254749  1244-255    1.61    -9.3   -16.3    1.35    0.74    0.31    0.21    36.8   263
ICRF J145432.9-401232  1451-400    1.94   -49.0  -193.5    5.66    1.35    0.64    0.15    27.0    67
ICRF J091552.4+293324  0912+297    1.12    17.1   -18.6    1.34    1.12    0.21    0.22    24.9    25
ICRF J170124.6+395437  1659+399    1.34  -348.4    53.5    0.93    0.31    0.25    0.10    11.0    42
ICRF J034035.6-211931  0338-214    1.63    -6.0   -45.2    1.65    1.53    0.40    0.29    29.5   162
ICRF J233159.4-381147  2329-384    2.01    74.8   -74.1    4.64    1.20    2.92    0.35    27.2    77
ICRF J040305.5+260001  0400+258    1.12    19.5    -0.9    0.46    0.47    0.05    0.03    28.8    69
ICRF J001331.1+405137  0010+405    1.34    -4.3    20.1    0.20    0.38    0.03    0.08    25.0    64
ICRF J150704.7-165230  1504-166    1.65    15.6   -34.3    1.93    1.28    0.62    0.22    26.8    82
ICRF J004959.4-573827  0047-579    2.07   -25.7   -69.2    0.76    1.07    0.17    0.47    22.6    33
ICRF J104455.9+065538  1042+071    1.12    -1.2   -24.4    0.29    0.73    0.21    0.15    22.3    27
ICRF J134345.9+660225  1342+662    1.36    -3.4   -17.2    1.05    0.28    0.26    0.07    26.4   203
